|micro_category|macro_category|human_strings
845|Water & Sewer|Housing & Utilities|water usage
846|Water & Sewer|Housing & Utilities|sewer usage
847|Water & Sewer|Housing & Utilities|water and sewer usage
848|Water & Sewer|Housing & Utilities|water meter reading
849|Water & Sewer|Housing & Utilities|sewer meter reading
850|Water & Sewer|Housing & Utilities|water and sewer meter reading
851|Water & Sewer|Housing & Utilities|water service
852|Water & Sewer|Housing & Utilities|sewer service
853|Water & Sewer|Housing & Utilities|water and sewer service
854|Water & Sewer|Housing & Utilities|water and sewer account
855|Water & Sewer|Housing & Utilities|water account
856|Water & Sewer|Housing & Utilities|sewer account
857|Water & Sewer|Housing & Utilities|water bill online
858|Water & Sewer|Housing & Utilities|sewer bill online
859|Water & Sewer|Housing & Utilities|water and sewer bill online
860|Water & Sewer|Housing & Utilities|water bill dispute
861|Water & Sewer|Housing & Utilities|sewer bill dispute
862|Water & Sewer|Housing & Utilities|water and sewer bill dispute
863|Water & Sewer|Housing & Utilities|water bill inquiry
864|Water & Sewer|Housing & Utilities|sewer bill inquiry
865|Water & Sewer|Housing & Utilities|water and sewer bill inquiry
866|Water & Sewer|Housing & Utilities|water bill statement
867|Water & Sewer|Housing & Utilities|sewer bill statement
868|Water & Sewer|Housing & Utilities|water and sewer bill statement
869|Water & Sewer|Housing & Utilities|water bill from city
870|Water & Sewer|Housing & Utilities|sewer bill from city
871|Water & Sewer|Housing & Utilities|water and sewer bill from city
872|Water & Sewer|Housing & Utilities|water bill from county
873|Water & Sewer|Housing & Utilities|sewer bill from county
874|Water & Sewer|Housing & Utilities|water and sewer bill from county
875|Water & Sewer|Housing & Utilities|water bill amount
876|Water & Sewer|Housing & Utilities|sewer bill amount
877|Water & Sewer|Housing & Utilities|water and sewer bill amount
878|Water & Sewer|Housing & Utilities|water bill due date
879|Water & Sewer|Housing & Utilities|sewer bill due date
880|Water & Sewer|Housing & Utilities|water and sewer bill due date
881|Water & Sewer|Housing & Utilities|water bill address
882|Water & Sewer|Housing & Utilities|sewer bill address
883|Water & Sewer|Housing & Utilities|water and sewer bill address
884|Water & Sewer|Housing & Utilities|water bill contact
885|Water & Sewer|Housing & Utilities|sewer bill contact
886|Water & Sewer|Housing & Utilities|water and sewer bill contact
887|Water & Sewer|Housing & Utilities|Water & sewer bill payment.
888|Water & Sewer|Housing & Utilities|Sewer bill - late payment.
889|Water & Sewer|Housing & Utilities|Water dept bill.
890|Water & Sewer|Housing & Utilities|City water bill.
891|Water & Sewer|Housing & Utilities|Paid water bill.
892|Water & Sewer|Housing & Utilities|Water bill.
893|Water & Sewer|Housing & Utilities|Sewer bill.
894|Water & Sewer|Housing & Utilities|Water and sewer.
895|Water & Sewer|Housing & Utilities|Water and sewer bill.
896|Water & Sewer|Housing & Utilities|City water and sewer bill.
897|Water & Sewer|Housing & Utilities|Water bill payment.
898|Water & Sewer|Housing & Utilities|Sewer and water.
899|Water & Sewer|Housing & Utilities|Sewer and water charges.
900|Water & Sewer|Housing & Utilities|Water charges.
901|Water & Sewer|Housing & Utilities|Sewer charges.
902|Water & Sewer|Housing & Utilities|Water & sewer.
903|Water & Sewer|Housing & Utilities|Water bill online.
904|Water & Sewer|Housing & Utilities|Sewer bill online.
905|Water & Sewer|Housing & Utilities|Water bill dispute.
906|Water & Sewer|Housing & Utilities|Sewer bill dispute.
907|Water & Sewer|Housing & Utilities|Water & sewer dispute.
908|Water & Sewer|Housing & Utilities|Water bill inquiry.
909|Water & Sewer|Housing & Utilities|Sewer bill inquiry.
910|Water & Sewer|Housing & Utilities|Water and sewer inquiry.
911|Water & Sewer|Housing & Utilities|Water bill statement.
912|Water & Sewer|Housing & Utilities|Sewer bill statement.
913|Water & Sewer|Housing & Utilities|Water and sewer statement.
914|Water & Sewer|Housing & Utilities|Water bill from city.
915|Water & Sewer|Housing & Utilities|Sewer bill from city.
916|Water & Sewer|Housing & Utilities|Water and sewer from city.
917|Water & Sewer|Housing & Utilities|Water bill from county.
918|Water & Sewer|Housing & Utilities|Sewer bill from county.
919|Water & Sewer|Housing & Utilities|Water and sewer from county.
920|Water & Sewer|Housing & Utilities|Water bill amount.
921|Water & Sewer|Housing & Utilities|Sewer bill amount.
922|Water & Sewer|Housing & Utilities|Water and sewer amount.
923|Water & Sewer|Housing & Utilities|Water bill due date.
924|Water & Sewer|Housing & Utilities|Sewer bill due date.
925|Water & Sewer|Housing & Utilities|Water and sewer due date.
926|Water & Sewer|Housing & Utilities|Water bill address.
927|Water & Sewer|Housing & Utilities|Sewer bill address.
928|Water & Sewer|Housing & Utilities|Water and sewer address.
929|Water & Sewer|Housing & Utilities|Water bill contact.
930|Water & Sewer|Housing & Utilities|Sewer bill contact.
931|Water & Sewer|Housing & Utilities|Water and sewer contact.
932|Internet, phone and streaming services|Housing & Utilities|Netflix subscription
933|Internet, phone and streaming services|Housing & Utilities|Netflix bill
934|Internet, phone and streaming services|Housing & Utilities|netflix
935|Internet, phone and streaming services|Housing & Utilities|disney plus
936|Internet, phone and streaming services|Housing & Utilities|disney+
937|Internet, phone and streaming services|Housing & Utilities|Disney+ subscription
938|Internet, phone and streaming services|Housing & Utilities|Hulu
939|Internet, phone and streaming services|Housing & Utilities|hulu subscription
940|Internet, phone and streaming services|Housing & Utilities|amazon prime
941|Internet, phone and streaming services|Housing & Utilities|amazon prime video
942|Internet, phone and streaming services|Housing & Utilities|Prime video
943|Internet, phone and streaming services|Housing & Utilities|Spotify
944|Internet, phone and streaming services|Housing & Utilities|spotify premium
945|Internet, phone and streaming services|Housing & Utilities|Tidal
946|Internet, phone and streaming services|Housing & Utilities|youtube premium
947|Internet, phone and streaming services|Housing & Utilities|youtube music
948|Internet, phone and streaming services|Housing & Utilities|phone bill
949|Internet, phone and streaming services|Housing & Utilities|Verizon bill
950|Internet, phone and streaming services|Housing & Utilities|AT&T bill
951|Internet, phone and streaming services|Housing & Utilities|T-Mobile bill
952|Internet, phone and streaming services|Housing & Utilities|cell phone bill
953|Internet, phone and streaming services|Housing & Utilities|internet bill
954|Internet, phone and streaming services|Housing & Utilities|Comcast bill
955|Internet, phone and streaming services|Housing & Utilities|Spectrum bill
956|Internet, phone and streaming services|Housing & Utilities|Xfinity bill
957|Internet, phone and streaming services|Housing & Utilities|Fios bill
958|Internet, phone and streaming services|Housing & Utilities|Verizon internet
959|Internet, phone and streaming services|Housing & Utilities|AT&T internet
960|Internet, phone and streaming services|Housing & Utilities|Spectrum internet
961|Internet, phone and streaming services|Housing & Utilities|Comcast internet
962|Internet, phone and streaming services|Housing & Utilities|Xfinity internet
963|Internet, phone and streaming services|Housing & Utilities|Fios internet
964|Internet, phone and streaming services|Housing & Utilities|Streaming services
965|Internet, phone and streaming services|Housing & Utilities|monthly streaming
966|Internet, phone and streaming services|Housing & Utilities|online subscriptions
967|Internet, phone and streaming services|Housing & Utilities|internet and phone
968|Internet, phone and streaming services|Housing & Utilities|phone and internet
969|Internet, phone and streaming services|Housing & Utilities|phone & internet
970|Internet, phone and streaming services|Housing & Utilities|internet & phone
971|Internet, phone and streaming services|Housing & Utilities|Streaming charges
972|Internet, phone and streaming services|Housing & Utilities|cable bill
973|Internet, phone and streaming services|Housing & Utilities|cable internet
974|Internet, phone and streaming services|Housing & Utilities|Data plan
975|Internet, phone and streaming services|Housing & Utilities|data charges
976|Internet, phone and streaming services|Housing & Utilities|mobile phone bill
977|Internet, phone and streaming services|Housing & Utilities|home phone bill
978|Internet, phone and streaming services|Housing & Utilities|landline bill
979|Internet, phone and streaming services|Housing & Utilities|online service
980|Internet, phone and streaming services|Housing & Utilities|internet service
981|Internet, phone and streaming services|Housing & Utilities|phone service
982|Internet, phone and streaming services|Housing & Utilities|streaming service
983|Internet, phone and streaming services|Housing & Utilities|subscription boxes
984|Internet, phone and streaming services|Housing & Utilities|subscription fees
985|Internet, phone and streaming services|Housing & Utilities|monthly fees
986|Internet, phone and streaming services|Housing & Utilities|recurring charges
987|Internet, phone and streaming services|Housing & Utilities|bill payment
988|Internet, phone and streaming services|Housing & Utilities|online payment
989|Internet, phone and streaming services|Housing & Utilities|digital services
990|Internet, phone and streaming services|Housing & Utilities|communication services
991|Internet, phone and streaming services|Housing & Utilities|entertainment services
992|Internet, phone and streaming services|Housing & Utilities|media services
993|Internet, phone and streaming services|Housing & Utilities|tv streaming
994|Internet, phone and streaming services|Housing & Utilities|music streaming
995|Internet, phone and streaming services|Housing & Utilities|video streaming
996|Internet, phone and streaming services|Housing & Utilities|online entertainment
997|Internet, phone and streaming services|Housing & Utilities|digital entertainment
998|Internet, phone and streaming services|Housing & Utilities|internet access
999|Internet, phone and streaming services|Housing & Utilities|broadband
1000|Internet, phone and streaming services|Housing & Utilities|fibre optic
1001|Internet, phone and streaming services|Housing & Utilities|DSL
1002|Internet, phone and streaming services|Housing & Utilities|cable modem
1003|Internet, phone and streaming services|Housing & Utilities|wi-fi
1004|Internet, phone and streaming services|Housing & Utilities|wireless internet
1005|Internet, phone and streaming services|Housing & Utilities|mobile data
1006|Internet, phone and streaming services|Housing & Utilities|roaming charges
1007|Internet, phone and streaming services|Housing & Utilities|international calls
1008|Internet, phone and streaming services|Housing & Utilities|long distance calls
1009|Internet, phone and streaming services|Housing & Utilities|text messages
1010|Internet, phone and streaming services|Housing & Utilities|SMS
1011|Internet, phone and streaming services|Housing & Utilities|MMS
1012|Internet, phone and streaming services|Housing & Utilities|data overage
1013|Internet, phone and streaming services|Housing & Utilities|overage charges
1014|Internet, phone and streaming services|Housing & Utilities|late payment fee
1015|Internet, phone and streaming services|Housing & Utilities|payment
1016|Internet, phone and streaming services|Housing & Utilities|internet payment
1017|Internet, phone and streaming services|Housing & Utilities|phone payment
1018|Internet, phone and streaming services|Housing & Utilities|streaming payment
1019|Internet, phone and streaming services|Housing & Utilities|bill
1020|Internet, phone and streaming services|Housing & Utilities|bills
1021|Internet, phone and streaming services|Housing & Utilities|online bill
1022|Internet, phone and streaming services|Housing & Utilities|monthly bill
1023|Internet, phone and streaming services|Housing & Utilities|recurring bill
1024|Internet, phone and streaming services|Housing & Utilities|paid netflix
1025|Internet, phone and streaming services|Housing & Utilities|paid for disney+
1026|Internet, phone and streaming services|Housing & Utilities|renewed spotify
1027|Internet, phone and streaming services|Housing & Utilities|cancelled hulu
1028|Internet, phone and streaming services|Housing & Utilities|amazon prime renewal
1029|Internet, phone and streaming services|Housing & Utilities|internet bill due
1030|Internet, phone and streaming services|Housing & Utilities|phone bill payment
1031|Internet, phone and streaming services|Housing & Utilities|late payment internet
1032|Internet, phone and streaming services|Housing & Utilities|streaming bill
1033|Internet, phone and streaming services|Housing & Utilities|paid my streaming
1034|Internet, phone and streaming services|Housing & Utilities|$15 netflix
1035|Internet, phone and streaming services|Housing & Utilities|$20 disney+
1036|Internet, phone and streaming services|Housing & Utilities|$10 spotify
1037|Internet, phone and streaming services|Housing & Utilities|$60 internet
1038|Internet, phone and streaming services|Housing & Utilities|$70 phone bill
1039|Internet, phone and streaming services|Housing & Utilities|$100 streaming
1040|Internet, phone and streaming services|Housing & Utilities|$25 cable bill
1041|Internet, phone and streaming services|Housing & Utilities|$30 data plan
1042|Internet, phone and streaming services|Housing & Utilities|Netflix 15$
1043|Internet, phone and streaming services|Housing & Utilities|Disney+ 20$
1044|Internet, phone and streaming services|Housing & Utilities|Spotify 10$
1045|Internet, phone and streaming services|Housing & Utilities|Internet 60$
1046|Internet, phone and streaming services|Housing & Utilities|Phone 70$
1047|Internet, phone and streaming services|Housing & Utilities|Streaming 100$
1048|Internet, phone and streaming services|Housing & Utilities|Cable 25$
1049|Internet, phone and streaming services|Housing & Utilities|Data 30$
1050|Internet, phone and streaming services|Housing & Utilities|internet bill - comcast
1051|Internet, phone and streaming services|Housing & Utilities|phone bill - verizon
1052|Internet, phone and streaming services|Housing & Utilities|netflix subscription - autopay
1053|Internet, phone and streaming services|Housing & Utilities|disney plus - monthly charge
1054|Internet, phone and streaming services|Housing & Utilities|spotify premium - renewal
1055|Internet, phone and streaming services|Housing & Utilities|amazon prime video - annual fee
1056|Internet, phone and streaming services|Housing & Utilities|youtube premium - family plan
1057|Internet, phone and streaming services|Housing & Utilities|comcast internet bill
1058|Internet, phone and streaming services|Housing & Utilities|verizon wireless bill
1059|Internet, phone and streaming services|Housing & Utilities|netflix monthly fee
1060|Internet, phone and streaming services|Housing & Utilities|disney plus subscription fee
1061|Internet, phone and streaming services|Housing & Utilities|spotify family plan
1062|Internet, phone and streaming services|Housing & Utilities|High speed internet
1063|Internet, phone and streaming services|Housing & Utilities|Home phone line
1064|Internet, phone and streaming services|Housing & Utilities|Mobile data plan
1065|Internet, phone and streaming services|Housing & Utilities|Streaming TV subscription
1066|Internet, phone and streaming services|Housing & Utilities|Music streaming service
1067|Internet, phone and streaming services|Housing & Utilities|Internet & Phone Bundle
1068|Internet, phone and streaming services|Housing & Utilities|Triple Play Package
1069|Internet, phone and streaming services|Housing & Utilities|Streaming package
1070|Internet, phone and streaming services|Housing & Utilities|My internet bill
1071|Internet, phone and streaming services|Housing & Utilities|The phone bill
1072|Internet, phone and streaming services|Housing & Utilities|That streaming service
1073|Internet, phone and streaming services|Housing & Utilities|Bill for internet and phone
1074|Internet, phone and streaming services|Housing & Utilities|Monthly payment for streaming
1075|Internet, phone and streaming services|Housing & Utilities|Cost of internet service
1076|Internet, phone and streaming services|Housing & Utilities|High-speed internet charges
1077|Internet, phone and streaming services|Housing & Utilities|Unlimited mobile data charges
1078|Internet, phone and streaming services|Housing & Utilities|Monthly subscription for streaming
1079|Groceries|Food & Dining|groceries shopping
1080|Groceries|Food & Dining|supermarket shop
1081|Groceries|Food & Dining|weekly shop
1082|Groceries|Food & Dining|food shopping
1083|Groceries|Food & Dining|groceries
1084|Groceries|Food & Dining|shopping at tesco
1085|Groceries|Food & Dining|got milk and eggs
1086|Groceries|Food & Dining|milk and bread
1087|Groceries|Food & Dining|food shopping at aldi
1088|Groceries|Food & Dining|aldi shop
1089|Groceries|Food & Dining|aldi shoping
1090|Groceries|Food & Dining|groceries aldi
1091|Groceries|Food & Dining|bought some food
1092|Groceries|Food & Dining|food shop
1093|Groceries|Food & Dining|supermarket
1094|Groceries|Food & Dining|need food
1095|Groceries|Food & Dining|shopping at sainsburys
1096|Groceries|Food & Dining|sainsburys shop
1097|Groceries|Food & Dining|sainsburys
1098|Groceries|Food & Dining|groceries sainsburys
1099|Groceries|Food & Dining|lidl shop
1100|Groceries|Food & Dining|shopping at lidl
1101|Groceries|Food & Dining|groceries lidl
1102|Groceries|Food & Dining|lidl groceries
1103|Groceries|Food & Dining|tesco shop
1104|Groceries|Food & Dining|groceries tesco
1105|Groceries|Food & Dining|tesco shopping
1106|Groceries|Food & Dining|shopping at tesco
1107|Groceries|Food & Dining|asda shop
1108|Groceries|Food & Dining|asda shopping
1109|Groceries|Food & Dining|groceries asda
1110|Groceries|Food & Dining|shopping at asda
1111|Groceries|Food & Dining|morrisons shop
1112|Groceries|Food & Dining|morrisons shopping
1113|Groceries|Food & Dining|groceries morrisons
1114|Groceries|Food & Dining|shopping at morrisons
1115|Groceries|Food & Dining|Waitrose shop
1116|Groceries|Food & Dining|Waitrose shopping
1117|Groceries|Food & Dining|groceries waitrose
1118|Groceries|Food & Dining|shopping at waitrose
1119|Groceries|Food & Dining|groceries delivery
1120|Groceries|Food & Dining|food delivery
1121|Groceries|Food & Dining|online groceries
1122|Groceries|Food & Dining|delivered groceries
1123|Groceries|Food & Dining|organic groceries
1124|Groceries|Food & Dining|organic food
1125|Groceries|Food & Dining|healthy food shop
1126|Groceries|Food & Dining|health food shop
1127|Groceries|Food & Dining|farmers market shop
1128|Groceries|Food & Dining|farmers market
1129|Groceries|Food & Dining|local produce
1130|Groceries|Food & Dining|fresh food
1131|Groceries|Food & Dining|fruit and veg
1132|Groceries|Food & Dining|fruit and vegetables
1133|Groceries|Food & Dining|greengrocer
1134|Groceries|Food & Dining|fresh produce
1135|Groceries|Food & Dining|bread milk eggs
1136|Groceries|Food & Dining|essentials
1137|Groceries|Food & Dining|basic groceries
1138|Groceries|Food & Dining|daily shop
1139|Groceries|Food & Dining|meat and fish
1140|Groceries|Food & Dining|butcher
1141|Groceries|Food & Dining|fishmonger
1142|Groceries|Food & Dining|protein
1143|Groceries|Food & Dining|cheese and wine
1144|Groceries|Food & Dining|wine and snacks
1145|Groceries|Food & Dining|cheese and biscuits
1146|Groceries|Food & Dining|appetizers
1147|Groceries|Food & Dining|pasta and sauce
1148|Groceries|Food & Dining|italian groceries
1149|Groceries|Food & Dining|pasta night
1150|Groceries|Food & Dining|dinner ingredients
1151|Groceries|Food & Dining|rice and beans
1152|Groceries|Food & Dining|mexican groceries
1153|Groceries|Food & Dining|burrito ingredients
1154|Groceries|Food & Dining|tacos
1155|Groceries|Food & Dining|snacks and drinks
1156|Groceries|Food & Dining|crisps and pop
1157|Groceries|Food & Dining|candy and soda
1158|Groceries|Food & Dining|treats
1159|Groceries|Food & Dining|cereal and yoghurt
1160|Groceries|Food & Dining|breakfast groceries
1161|Groceries|Food & Dining|morning food
1162|Groceries|Food & Dining|breakfast items
1163|Groceries|Food & Dining|coffee and tea
1164|Groceries|Food & Dining|hot drinks
1165|Groceries|Food & Dining|beverages
1166|Groceries|Food & Dining|tea and coffee
1167|Groceries|Food & Dining|baking ingredients
1168|Groceries|Food & Dining|flour sugar eggs
1169|Groceries|Food & Dining|cakes and cookies
1170|Groceries|Food & Dining|sweet treats
1171|Groceries|Food & Dining|toiletries
1172|Groceries|Food & Dining|bathroom essentials
1173|Groceries|Food & Dining|soap shampoo
1174|Groceries|Food & Dining|hygiene products
1175|Groceries|Food & Dining|cleaning products
1176|Groceries|Food & Dining|detergent bleach
1177|Groceries|Food & Dining|household cleaning
1178|Groceries|Food & Dining|cleaning supplies
1179|Groceries|Food & Dining|pet food
1180|Groceries|Food & Dining|dog food cat food
1181|Groceries|Food & Dining|animal supplies
1182|Groceries|Food & Dining|pet supplies
1183|Groceries|Food & Dining|baby food
1184|Groceries|Food & Dining|nappies milk
1185|Groceries|Food & Dining|baby supplies
1186|Groceries|Food & Dining|baby essentials
1187|Groceries|Food & Dining|frozen food
1188|Groceries|Food & Dining|ice cream pizza
1189|Groceries|Food & Dining|frozen meals
1190|Groceries|Food & Dining|quick dinner
1191|Groceries|Food & Dining|canned food
1192|Groceries|Food & Dining|soup beans
1193|Groceries|Food & Dining|pantry staples
1194|Groceries|Food & Dining|long life food
1195|Groceries|Food & Dining|grocery delivery fee
1196|Groceries|Food & Dining|delivery charge
1197|Groceries|Food & Dining|extra charge
1198|Groceries|Food & Dining|delivery cost
1199|Groceries|Food & Dining|picked up groceries
1200|Groceries|Food & Dining|collected groceries
1201|Groceries|Food & Dining|got groceries
1202|Groceries|Food & Dining|groceries collected
1203|Groceries|Food & Dining|spent on groceries
1204|Groceries|Food & Dining|groceries bill
1205|Groceries|Food & Dining|grocery cost
1206|Groceries|Food & Dining|groceries expense
1207|Groceries|Food & Dining|grocery haul
1208|Groceries|Food & Dining|food haul
1209|Groceries|Food & Dining|my groceries
1210|Groceries|Food & Dining|new groceries
1211|Groceries|Food & Dining|groceries run
1212|Groceries|Food & Dining|quick grocery trip
1213|Groceries|Food & Dining|shopping trip
1214|Groceries|Food & Dining|went grocery shopping
1215|Groceries|Food & Dining|resorted groceries
1216|Groceries|Food & Dining|replenished groceries
1217|Groceries|Food & Dining|stocked up
1218|Groceries|Food & Dining|got more groceries
1219|Groceries|Food & Dining|big grocery shop
1220|Groceries|Food & Dining|large grocery shop
1221|Groceries|Food & Dining|lots of groceries
1222|Groceries|Food & Dining|massive grocery shop
1223|Groceries|Food & Dining|small grocery shop
1224|Groceries|Food & Dining|quick grocery shop
1225|Groceries|Food & Dining|few groceries
1226|Groceries|Food & Dining|small shop
1227|Groceries|Food & Dining|emergency groceries
1228|Groceries|Food & Dining|needed groceries
1229|Groceries|Food & Dining|urgent groceries
1230|Groceries|Food & Dining|ran out of food
1231|Groceries|Food & Dining|monthly groceries
1232|Groceries|Food & Dining|monthly food shop
1233|Groceries|Food & Dining|food for month
1234|Groceries|Food & Dining|groceries for month
1235|Groceries|Food & Dining|weekly groceries
1236|Groceries|Food & Dining|weekly food shop
1237|Groceries|Food & Dining|food for week
1238|Groceries|Food & Dining|groceries for week
1239|Groceries|Food & Dining|daily groceries
1240|Groceries|Food & Dining|daily shop
1241|Groceries|Food & Dining|small daily shop
1242|Groceries|Food & Dining|daily essentials
1243|Groceries|Food & Dining|groceries from amazon
1244|Groceries|Food & Dining|amazon groceries
1245|Groceries|Food & Dining|amazon fresh
1246|Groceries|Food & Dining|online grocery shop
1247|Groceries|Food & Dining|groceries from instacart
1248|Groceries|Food & Dining|instacart groceries
1249|Groceries|Food & Dining|instacart delivery
1250|Groceries|Food & Dining|grocery delivery
1251|Groceries|Food & Dining|groceries from walmart
1252|Groceries|Food & Dining|walmart groceries
1253|Groceries|Food & Dining|walmart shop
1254|Groceries|Food & Dining|grocery shopping
1255|Groceries|Food & Dining|groceries from target
1256|Groceries|Food & Dining|target groceries
1257|Groceries|Food & Dining|target shopping
1258|Groceries|Food & Dining|target shop
1259|Groceries|Food & Dining|food and drinks
1260|Groceries|Food & Dining|beverages
1261|Groceries|Food & Dining|snacks and drinks
1262|Groceries|Food & Dining|food and beverages
1263|Groceries|Food & Dining|grocery store
1264|Groceries|Food & Dining|supermarket
1265|Groceries|Food & Dining|food store
1266|Groceries|Food & Dining|market
1267|Groceries|Food & Dining|fresh food market
1268|Groceries|Food & Dining|farmers market
1269|Groceries|Food & Dining|local market
1270|Groceries|Food & Dining|market shop
1271|Groceries|Food & Dining|health food store
1272|Groceries|Food & Dining|organic store
1273|Groceries|Food & Dining|health food shop
1274|Groceries|Food & Dining|organic food shop
1275|Groceries|Food & Dining|discount grocery store
1276|Groceries|Food & Dining|cheap supermarket
1277|Groceries|Food & Dining|budget groceries
1278|Groceries|Food & Dining|affordable groceries
1279|Groceries|Food & Dining|gourmet grocery store
1280|Groceries|Food & Dining|upscale supermarket
1281|Groceries|Food & Dining|high end groceries
1282|Groceries|Food & Dining|fancy groceries
1283|Groceries|Food & Dining|international grocery store
1284|Groceries|Food & Dining|ethnic food store
1285|Groceries|Food & Dining|world foods
1286|Groceries|Food & Dining|international foods
1287|Groceries|Food & Dining|bulk food store
1288|Groceries|Food & Dining|wholesale groceries
1289|Groceries|Food & Dining|buy in bulk
1290|Groceries|Food & Dining|bulk buying
1291|Groceries|Food & Dining|local grocery store
1292|Groceries|Food & Dining|neighborhood grocery store
1293|Groceries|Food & Dining|local shop
1294|Groceries|Food & Dining|nearby grocery store
1295|Groceries|Food & Dining|online grocery shopping
1296|Groceries|Food & Dining|online grocery store
1297|Groceries|Food & Dining|online food shopping
1298|Groceries|Food & Dining|e-grocery
1299|Groceries|Food & Dining|grocery pickup
1300|Groceries|Food & Dining|click and collect
1301|Groceries|Food & Dining|order groceries online
1302|Groceries|Food & Dining|online grocery pickup
1303|Groceries|Food & Dining|grocery refund
1304|Groceries|Food & Dining|money back
1305|Groceries|Food & Dining|refund groceries
1306|Groceries|Food & Dining|refund on groceries
1307|Groceries|Food & Dining|grocery return
1308|Groceries|Food & Dining|returned groceries
1309|Groceries|Food & Dining|return grocery items
1310|Groceries|Food & Dining|grocery return
1311|Groceries|Food & Dining|grocery points
1312|Groceries|Food & Dining|loyalty points
1313|Groceries|Food & Dining|rewards points
1314|Groceries|Food & Dining|grocery rewards
1315|Groceries|Food & Dining|grocery coupons
1316|Groceries|Food & Dining|discount coupons
1317|Groceries|Food & Dining|grocery discounts
1318|Groceries|Food & Dining|coupons
1319|Groceries|Food & Dining|grocery sale
1320|Groceries|Food & Dining|grocery specials
1321|Groceries|Food & Dining|grocery deals
1322|Groceries|Food & Dining|sale on groceries
1323|Groceries|Food & Dining|grocery list
1324|Groceries|Food & Dining|shopping list
1325|Groceries|Food & Dining|food list
1326|Groceries|Food & Dining|items to buy
1327|Groceries|Food & Dining|grocery bag
1328|Groceries|Food & Dining|shopping bag
1329|Groceries|Food & Dining|reusable bag
1330|Groceries|Food & Dining|bags
1331|Groceries|Food & Dining|grocery receipt
1332|Groceries|Food & Dining|bill
1333|Groceries|Food & Dining|store receipt
1334|Groceries|Food & Dining|receipt
1335|Groceries|Food & Dining|grocery tax
1336|Groceries|Food & Dining|sales tax
1337|Groceries|Food & Dining|tax on groceries
1338|Groceries|Food & Dining|grocery taxes
1339|Groceries|Food & Dining|grocery theft
1340|Groceries|Food & Dining|shoplifting
1341|Groceries|Food & Dining|stolen groceries
1342|Groceries|Food & Dining|groceries stolen
1343|Groceries|Food & Dining|grocery store job
1344|Groceries|Food & Dining|work at grocery store
1345|Groceries|Food & Dining|grocery store employee
1346|Groceries|Food & Dining|grocery work
1347|Groceries|Food & Dining|grocery store manager
1348|Groceries|Food & Dining|manager grocery store
1349|Groceries|Food & Dining|grocery store boss
1350|Groceries|Food & Dining|grocery management
1351|Groceries|Food & Dining|grocery store owner
1352|Groceries|Food & Dining|own grocery store
1353|Groceries|Food & Dining|grocery store business
1354|Groceries|Food & Dining|grocery store entrepreneur
1355|Groceries|Food & Dining|grocery store chain
1356|Groceries|Food & Dining|supermarket chain
1357|Groceries|Food & Dining|grocery chain
1358|Groceries|Food & Dining|large grocery store
1359|Groceries|Food & Dining|grocery store industry
1360|Groceries|Food & Dining|food industry
1361|Groceries|Food & Dining|retail food
1362|Groceries|Food & Dining|grocery business
1363|Groceries|Food & Dining|grocery store marketing
1364|Groceries|Food & Dining|marketing groceries
1365|Groceries|Food & Dining|grocery advertising
1366|Groceries|Food & Dining|grocery promotions
1367|Groceries|Food & Dining|grocery store sustainability
1368|Groceries|Food & Dining|eco-friendly groceries
1369|Groceries|Food & Dining|sustainable groceries
1370|Groceries|Food & Dining|green groceries
1371|Groceries|Food & Dining|grocery store technology
1372|Groceries|Food & Dining|grocery tech
1373|Groceries|Food & Dining|tech in grocery
1374|Groceries|Food & Dining|grocery innovation
1375|Groceries|Food & Dining|grocery store experience
1376|Groceries|Food & Dining|shopping experience
1377|Groceries|Food & Dining|customer experience
1378|Groceries|Food & Dining|grocery shopping experience
1379|Groceries|Food & Dining|grocery store design
1380|Groceries|Food & Dining|store layout
1381|Groceries|Food & Dining|grocery store design
1382|Groceries|Food & Dining|store design
1383|Restaurants, Take away and Dining Out|Food & Dining|Dinner at the Italian place
1384|Restaurants, Take away and Dining Out|Food & Dining|Lunch at Pasta House
1385|Restaurants, Take away and Dining Out|Food & Dining|Quick bite at Subway
1386|Restaurants, Take away and Dining Out|Food & Dining|McDonalds drive thru
1387|Restaurants, Take away and Dining Out|Food & Dining|Ordered pizza online
1388|Restaurants, Take away and Dining Out|Food & Dining|Takeaway Chinese food
1389|Restaurants, Take away and Dining Out|Food & Dining|Expensive dinner date
1390|Restaurants, Take away and Dining Out|Food & Dining|Casual dinner with friends
1391|Restaurants, Take away and Dining Out|Food & Dining|Coffee at Starbucks
1392|Restaurants, Take away and Dining Out|Food & Dining|Burger King meal
1393|Restaurants, Take away and Dining Out|Food & Dining|Sushi for lunch
1394|Restaurants, Take away and Dining Out|Food & Dining|Taco Bell
1395|Restaurants, Take away and Dining Out|Food & Dining|Dominos pizza delivery
1396|Restaurants, Take away and Dining Out|Food & Dining|Pasta from that new Italian spot
1397|Restaurants, Take away and Dining Out|Food & Dining|Fast food on the way to work
1398|Restaurants, Take away and Dining Out|Food & Dining|Grabbed a sandwich from Pret
1399|Restaurants, Take away and Dining Out|Food & Dining|Late night kebab
1400|Restaurants, Take away and Dining Out|Food & Dining|Fancy restaurant downtown
1401|Restaurants, Take away and Dining Out|Food & Dining|Breakfast burrito from the cafe
1402|Restaurants, Take away and Dining Out|Food & Dining|Smoothie and pastry at the coffee shop
